concurrent_users,cpu_utilization_percent,memory_utilization_percent,disk_io_operations,network_bandwidth_mbps,server_type,virtualization,database_queries_per_second,cache_hit_rate,server_age_months,operating_system,application_complexity,peak_hour_flag,background_processes,response_time_ms
3115.0,23.45781155323829,92.75663850818091,2702.3972850617297,45.43263140020364,Web,Physical,366.2462856133473,70.22906166775081,5.800221294688666,Unix,Moderate,0.0,303.0,36.99234229044051
2924.0,42.319176436533766,30.009675737468857,3628.288818218008,847.700086237146,Database,Container,193.0720346006153,76.15012137272447,55.520668793185465,Unix,Complex,0.0,324.0,898.6884683896566
2619.0,66.91703136695278,30.87312347217457,401.3876279919936,80.34125983202559,File,VM,75.62198267083706,81.69195774048269,12.22809593524427,Linux,Complex,0.0,73.0,539.446521088673
2606.0,89.71379630376683,56.01952245758579,2480.191807394573,962.14116411209,Web,Physical,256.1259831983623,55.91723663366683,3.661472231288335,Unix,Moderate,0.0,202.0,860.1248705465457
1235.0,77.7715018429982,86.1562693850896,1540.7875009673796,235.4269442123529,Application,Container,258.54759770668,81.59964086522757,10.852545660702203,Windows,Complex,1.0,388.0,541.0116348549382
2458.0,77.87755884516272,96.79222324408616,3356.6532475725758,520.3763480752461,Application,VM,453.48239206836666,79.9855427006749,59.15247493141013,Linux,Simple,0.0,390.0,546.4094281564047
2560.0,49.19954579993706,34.631591005434,6436.9977804692,520.3763480752461,Database,Physical,80.61261826331862,89.25206729292356,5.327894708383023,Windows,Complex,1.0,205.0,802.1089684486914
4389.0,30.55108064661349,42.62504204700005,5110.726587677345,453.17977319951984,Application,Container,367.0657627860688,64.93757901149664,8.575431651175856,Unix,Simple,0.0,171.0,911.0376571741868
496.0,92.88119134870904,52.08678030089383,9774.352796656302,283.46038397984654,File,VM,256.1259831983623,66.38133951452048,6.448198954856626,Windows,Simple,0.0,292.0,783.1735312917422
2560.0,26.804255046503727,61.57710190048261,5392.234103216691,557.5988198991994,Database,Physical,50.54590130135939,90.90982757272752,8.801337759511036,Unix,Simple,0.0,304.0,953.9484947507304
3526.0,31.190868877904933,56.23499490633935,3205.554520441159,762.0947299685045,Application,Container,62.27280594548436,56.15887877359857,23.476990930685226,Unix,Simple,0.0,125.0,256.9249795084117
4784.0,82.83537253168541,57.13092866384963,7520.217057892263,520.3763480752461,Web,Container,60.44908577600606,82.26883907073746,35.49062893851766,Linux,Moderate,0.0,146.0,582.8962969421926
250.0,94.57219489220816,74.85915253226847,4813.874571676193,858.2166417194389,Web,VM,58.77070058124904,75.75876428530867,54.76291589162245,Unix,Complex,1.0,493.0,179.95979629663162
294.0,51.83333120477746,67.69029859590728,9028.075548034025,645.942229946529,File,VM,296.11574247784534,75.64148833993181,14.265018401015174,Unix,Moderate,0.0,269.0,140.28615114374992
4060.0,86.81768365862452,54.75719432980294,588.3063847140272,136.3726520800451,File,Container,63.16159298990508,92.64596362086716,17.924883572964674,Windows,Simple,0.0,376.0,170.82353856966608
2112.0,21.306320084998084,63.82945642769459,5349.734663096822,676.6836502586424,Application,Physical,341.82504710704313,74.44835381210584,21.423499312645948,Windows,Simple,0.0,411.0,288.41140069116693
1013.0,94.47234644218004,46.35781727067992,6756.079255784263,828.702745216629,File,VM,474.0742858927528,76.6867908752355,48.24520528723591,Windows,Complex,0.0,82.0,390.3848335723124
4262.0,90.48429501087152,31.42408059191697,8123.319604387057,520.3763480752461,File,Physical,125.1912019026624,75.76754837168443,4.259910883062238,Unix,Simple,1.0,314.0,336.59152651331925
4483.0,66.72668892151643,90.96925277020785,6401.126322145624,574.4034630539433,Application,VM,207.8887459151463,66.99005361776483,12.863145566812012,Windows,Moderate,0.0,210.0,466.08368496569824
4524.0,77.85937039147142,67.70257431140737,3520.445740372734,207.5201346449705,Database,VM,327.93077755171834,62.03649427852407,9.413316418087678,Windows,Complex,0.0,63.0,104.21260183388432
1488.0,93.2238348566468,52.53220618288699,269.65043750135,274.04517953284795,File,VM,149.21462479108072,51.4071292699117,36.39701517095522,Unix,Complex,0.0,341.0,534.1070202119622
2437.0,20.366943318358576,89.38310906514502,5420.838139523709,853.4809655341254,Web,Physical,358.70163778169166,79.12322814606793,43.41305723607936,Unix,Moderate,0.0,425.0,791.5986649736054
3899.0,78.04182965382208,37.76832834295793,7771.282469253019,784.0335794836897,Application,Physical,160.6514351047166,80.71410769939125,31.791327349332704,Linux,Complex,0.0,175.0,346.7427287787839
4850.0,81.7404852065657,84.31061050561637,8403.337388916258,219.34541754415105,Web,Physical,457.7221339128447,67.55414535385862,59.01222689430234,Linux,Moderate,0.0,341.0,321.30936183515087
4514.0,85.37216814675618,52.45544389286768,8312.767940304919,798.0991605345577,Web,Physical,343.40732814253414,76.34001215999794,30.39373351208939,Windows,Complex,1.0,269.0,204.02752977229716
4753.0,34.09786009182,75.03596783123507,6526.769747944821,230.03633890693143,Web,Container,454.3974444723306,77.7230230685502,5.744200120709406,Unix,Simple,0.0,435.0,62.85003374985331
1859.0,41.6172985009231,48.37172053802838,6567.915652907775,361.99079726889534,Database,Physical,397.4060054944994,65.37121266307575,46.8353448272635,Unix,Complex,1.0,384.0,259.60438092292065
3077.0,93.8667677501459,83.99135206560305,614.4646592395572,651.6878835417901,Web,Container,256.1259831983623,97.55997653967336,17.074875252898252,Linux,Complex,1.0,378.0,491.3970980822433
486.0,37.21297617079959,46.40647112850929,7334.922827342674,847.1945560169671,Web,Container,161.20606613127447,71.5562976651436,54.27124832445976,Windows,Complex,0.0,125.0,489.8618057707319
3399.0,23.34623374643957,93.3590820027141,7788.227265484888,631.0800191196374,Web,VM,234.6385477094098,82.23214368075415,53.5550249119511,Unix,Complex,0.0,496.0,44.03021642598768
462.0,45.77467247076689,53.68085857628597,6134.786535289613,497.6849775199417,Web,Physical,210.82777154068333,56.19760725570944,17.52168794841371,Linux,Complex,1.0,172.0,431.937222155924
4765.0,57.62908132949697,35.221426721872,9191.371662226333,371.95151832575056,File,VM,483.44681043101934,55.64947339394293,7.1271426911107385,Linux,Complex,0.0,350.0,879.578133059314
2248.0,73.87250680324317,37.116126355984576,7984.069115642957,378.2251294504766,Database,VM,350.19794945840795,58.180856707630895,59.298035653737294,Windows,Moderate,1.0,239.0,491.3970980822433
3224.0,59.70972587571606,89.70346572219026,6890.151939055344,660.315251994229,Application,VM,476.6575053089861,67.61086508413106,21.696135543179693,Linux,Complex,0.0,253.0,153.57424890805672
4638.0,26.14758746153691,86.34253961352152,5110.726587677345,629.2364597279362,Web,VM,180.9973808863258,75.76754837168443,50.9426537092312,Unix,Simple,0.0,207.0,988.5324909406644
2560.0,29.78055889168347,59.90942136399086,4655.82719515278,776.780794808105,Application,VM,20.060058819343567,66.4783619683272,14.523381600504166,Linux,Complex,1.0,55.0,328.6573704378671
2594.0,40.95225273053971,87.60419827673171,1511.0204160823491,90.84663603909408,Database,VM,414.6830238761172,88.18301787417653,1.988976071977234,Windows,Complex,0.0,162.0,35.19202306885543
2459.0,49.8642332516222,90.0722270368976,7712.874569117313,834.5141112856423,File,VM,190.6336885120962,91.64132369729552,48.87103669633884,Windows,Complex,0.0,151.0,50.08342352775954
4521.0,57.7198026970984,51.88139288634625,8401.659584791167,152.6318692518006,Application,VM,60.07123786877354,83.23336850631303,35.575284710708104,Unix,Complex,1.0,407.0,588.8892029697188
2654.0,74.60952806322919,40.72443607663894,4448.830413663454,306.6302446785867,Database,Physical,444.6228438463268,56.218814085534135,38.793445369866696,Unix,Complex,1.0,108.0,617.2587337030178
92.0,36.53438600516243,71.36101641829532,5487.453681012191,295.63620412753585,Web,Physical,36.39143805968608,75.84539919381166,42.66061150503334,Linux,Moderate,0.0,148.0,815.2531582418633
3580.0,82.681350037256,43.12883443669708,5110.726587677345,978.005943259588,Application,Container,68.6987829394049,81.17839705722534,23.44593411245861,Unix,Moderate,0.0,218.0,746.6467132792677
3698.0,82.00814612254278,91.94019460619538,3862.7864745564425,880.0073893376652,Application,VM,183.12884718721853,65.91450244237238,8.064719337349441,Windows,Complex,0.0,176.0,73.5652641375251
3684.0,53.80830315983852,63.82945642769459,4184.55899646016,445.25759663120937,Application,VM,448.8227733024163,62.74817719636294,29.32607237478626,Linux,Simple,0.0,452.0,284.3606512578175
3584.0,84.92711319698108,83.65955021497878,5249.188305292929,185.1123576713656,Application,Container,485.8477285731021,54.18311359448562,36.12671452631637,Unix,Moderate,0.0,432.0,768.3465824832653
4058.0,41.58621768070156,56.02914019029181,139.18438860664338,197.71716857427936,Database,Container,360.1552122361901,89.47194072959351,31.791327349332704,Linux,Complex,0.0,376.0,491.3970980822433
4796.0,28.938312053885035,35.75146475192379,6464.906463375605,983.4230885643432,Database,VM,70.3872735705794,70.39317240825346,48.29415515326206,Windows,Complex,1.0,238.0,632.3551252349675
2777.0,28.45978474163914,61.59045974588568,2134.2711256634,785.2002718521508,Web,Container,116.72617218983174,61.55167028557113,6.9211181685477765,Unix,Complex,1.0,143.0,348.67526376452525
4555.0,31.638842101072413,45.28669553982119,4600.041961013827,379.7652673230184,File,Container,140.1101978961375,62.218088841004,18.61630127538656,Unix,Complex,0.0,50.0,369.0084613436143
3993.0,69.33213287422541,38.58528718275555,9069.831312823935,175.19890725896178,Web,VM,159.4654312174552,90.57315050567698,35.40059309516297,Windows,Moderate,0.0,138.0,80.6721973059453
707.0,33.29468714731953,40.17301947160003,7577.04702142117,930.6559311853692,Web,Container,289.6071385649202,86.4291679817197,33.64818106378384,Unix,Moderate,0.0,445.0,113.28738742251208
1989.0,74.47896202975494,92.77045949962395,5533.133447188528,341.66353081622987,Database,VM,332.77511904643626,63.36424411078281,56.62853595212015,Unix,Complex,0.0,372.0,571.7862099774403
3853.0,40.96114427377488,90.65084516316097,8466.589999931968,815.2251619258717,File,Physical,224.2215908184222,95.48457374743396,31.791327349332704,Windows,Complex,1.0,418.0,511.23364106178616
1660.0,68.29917458903003,77.7934816795227,5924.33931165328,471.9988437793787,Application,Physical,119.52149723184534,91.06341012414258,7.276112005939917,Windows,Simple,1.0,206.0,490.030394825858
3451.0,58.714490723693714,63.82945642769459,9245.992019385843,877.5015758600646,Web,Container,36.489633168379854,83.38784323102519,46.46501127493031,Windows,Simple,0.0,264.0,307.9304509372539
1522.0,47.56691914300056,63.82945642769459,4072.533838592965,954.811455850463,Web,Container,258.57149492828773,97.30011358766131,15.63578149824133,Unix,Moderate,1.0,369.0,451.40690347499776
2560.0,74.47221590073461,33.79832929516431,1685.1554050196355,419.93997763932856,Database,VM,460.72945066786906,58.198517592622096,14.670164376374313,Unix,Complex,0.0,139.0,368.2336252125217
4021.0,85.78485254481228,48.46158329678579,3026.87485637326,953.5678885562436,File,VM,383.0969416922224,79.47645305644457,57.3809864405964,Linux,Simple,0.0,106.0,671.1715514866249
2560.0,68.45257391277352,94.51037453116147,2198.1733052777263,981.236501150794,Database,Container,325.4453419792336,55.72533057717663,38.84849233021378,Windows,Simple,0.0,224.0,845.1653665216561
1141.0,53.53544518407907,42.44907351017847,1067.8778117546954,819.607480291179,File,VM,79.22765374675761,90.8957506370233,31.791327349332704,Linux,Moderate,1.0,435.0,359.85752283999307
2499.0,56.23177602512759,80.8485727653516,6126.992842231655,185.91098095299677,Web,VM,389.53958123098846,53.143790865547714,17.832574617008714,Unix,Complex,1.0,55.0,714.2414201377893
3129.0,54.766355928146965,63.54886996108189,6416.87113651329,972.6672974829272,Application,Container,75.43574711674522,88.11053155835731,39.46828367807559,Windows,Moderate,0.0,386.0,666.1981530319247
4556.0,56.610284902460016,33.22686442064669,9523.339296284365,671.4625234457876,Database,Container,221.79911025118025,61.04581306677833,26.65667308573926,Unix,Moderate,0.0,53.0,720.9333415679846
3142.0,62.52800132125149,47.49139163949104,4419.216949330888,675.4229851398707,Database,VM,379.2428184862568,58.76232189487229,59.22049532886911,Unix,Complex,0.0,170.0,990.5356116721754
422.0,72.64195892463856,66.49843528832264,5110.726587677345,339.4416251181465,Database,Physical,436.22299676061766,98.68868984272687,18.095888052772,Linux,Moderate,0.0,120.0,823.871855625299
388.0,50.67227231374308,53.185580532525,703.621607217146,782.1594034083172,File,Container,345.28938913129247,96.79656167374364,56.01058554457854,Windows,Complex,0.0,104.0,128.89573718724404
3910.0,80.92809938466877,33.584496471390466,9646.809511418627,410.9256166237969,Application,Container,125.12196722179245,62.78790088843749,28.535179546137968,Windows,Complex,1.0,311.0,390.9631130064639
1909.0,25.43243874675712,77.5079522149155,5110.726587677345,984.9667592540612,File,Container,47.79769340857,58.75298517516381,14.26579957049178,Windows,Moderate,1.0,99.0,834.6716389770224
3277.0,61.47770088142421,53.73038925276305,8449.283399416438,178.0666459277685,File,Physical,472.1960436688079,64.91370605518443,34.992208550677255,Linux,Complex,0.0,344.0,619.6533985376033
3500.0,35.98370095448524,82.4833635420674,9036.597391915737,28.68498996390555,File,VM,256.1259831983623,83.09367176338591,47.46315160428474,Windows,Complex,1.0,132.0,318.6781434442765
4537.0,57.62908132949697,73.39681502407801,9422.314216582112,181.05862203549847,File,VM,226.48000360774304,96.56344451873488,18.54022131420616,Linux,Moderate,0.0,337.0,85.40871726226268
969.0,52.2053238723008,42.32366438918186,705.9449161264926,904.031584042606,Web,Container,122.85446909459176,76.42480777970644,37.29679943787247,Linux,Moderate,0.0,337.0,787.540546373876
914.0,90.92013435667748,53.20388753599333,3196.05585170409,680.4943833109068,Web,Container,71.75819434781624,72.45668734071062,38.97973441491093,Unix,Moderate,0.0,244.0,863.0635114806222
1675.0,38.62674076522484,91.87165597650052,521.1847638792146,483.8999012245688,Web,VM,129.74307920993238,77.77712717075185,9.385010855488009,Windows,Moderate,0.0,269.0,204.2122090763293
4583.0,30.04469247855255,56.07292560619048,3416.28367963674,978.038064992617,Web,Physical,382.7680059669444,63.22392269452705,12.18100383804584,Unix,Complex,0.0,139.0,662.2752297124795
2912.0,83.24236881692394,48.35086842039907,1916.4747372055392,303.9840965567211,Web,Container,23.442303320312774,77.88094168785169,58.45471794863809,Windows,Moderate,0.0,69.0,491.3970980822433
842.0,36.64173196218826,76.9230370441208,8127.939010096346,29.384074715668504,Web,Physical,417.15073308836094,66.39722421729802,44.29301969632061,Linux,Complex,0.0,307.0,529.8840692034149
4199.0,62.993805480594766,44.75535185494227,8326.179812740187,407.4513787794679,Web,VM,94.51342361206171,59.5037029175524,32.789207986060376,Unix,Complex,0.0,218.0,969.415120124635
1445.0,77.48223965461798,70.33939372675165,8140.753391075555,191.2311036157725,Application,Container,433.0805042726634,67.52785483238735,9.023987003281793,Windows,Simple,0.0,479.0,938.5901451568628
1527.0,29.49697855049129,36.08617121338317,8400.863315132458,833.9714668149861,Application,Container,91.38570056969304,56.21315205735348,37.61014524458456,Unix,Complex,0.0,435.0,369.18622964004106
4066.0,43.0190707252045,48.830381851365225,9731.302394959874,113.3025127484902,File,VM,179.1800849232813,90.70290599497544,23.690738047920444,Unix,Complex,0.0,276.0,588.0140114823694
4723.0,76.70223030729272,40.18835507153929,5315.795516978432,520.3763480752461,Web,Physical,84.7634295306488,86.38998317754952,4.619788714404562,Linux,Moderate,0.0,77.0,146.62740773880623
2289.0,51.34480950307895,65.62073094221516,7054.185451927951,195.9429147281045,Application,Physical,231.1557213277933,89.8820731880013,13.273440746566774,Unix,Moderate,0.0,233.0,38.37894673764255
2560.0,94.64788059796628,55.28230796644742,9923.655332424833,15.6282896186914,Web,Container,147.0341073391094,59.02473387618862,57.39240173106569,Unix,Simple,0.0,325.0,695.1505329986355
1295.0,21.674623523918413,94.5339809451288,308.61664249731973,324.740493720344,File,VM,450.7791607972816,62.71309350675106,56.82606660520745,Unix,Moderate,1.0,89.0,370.8159462473185
3447.0,57.62908132949697,71.93576286037586,6892.68860915243,915.5901545336184,Database,VM,366.8331031318776,66.06778151075441,9.222571777432014,Unix,Moderate,0.0,333.0,568.5680800822997
1271.0,46.37036088233755,86.4563765242834,3008.219776919977,173.67360592155785,Application,Physical,224.0072989460372,77.95034171679026,59.06627324847949,Unix,Moderate,0.0,335.0,513.388927842429
4657.0,62.5288341062498,91.0989571062634,1959.5995510352493,477.58853026581625,Web,VM,216.6945574703197,80.90071763017102,31.791327349332704,Unix,Complex,1.0,469.0,754.6384278674766
3709.0,57.62908132949697,83.4535385476735,2390.9394145256465,130.48574669664902,File,VM,24.906579962541294,90.6133990712028,11.28385829578642,Unix,Moderate,0.0,179.0,363.3356827029462
2880.0,32.82245384413718,63.82945642769459,7092.691852052032,793.5278156828097,Web,Container,47.05673855506934,57.41828407101544,12.892420478875822,Windows,Moderate,0.0,303.0,411.8675474785471
1391.0,52.428366369685854,82.84664369469773,2648.6987998931863,924.0551039422886,Web,VM,336.5063383925108,68.12818272921888,21.10218646737517,Linux,Moderate,0.0,383.0,999.7693523215476
1497.0,28.309006895311025,63.82945642769459,5110.726587677345,434.4155904885968,File,Physical,256.1259831983623,57.90123397658701,31.791327349332704,Linux,Complex,1.0,274.0,485.28613854363965
1643.0,80.40956608268252,80.34574076500606,9328.709971743943,520.3763480752461,Application,Container,464.7827595364992,80.39357965107291,47.08434277214757,Windows,Complex,0.0,336.0,749.5324799569432
2157.0,69.87802634819315,88.87904942052212,5447.946133430491,731.2691786440034,Web,VM,157.5959821749906,80.00508816516658,30.664628007849217,Windows,Simple,0.0,379.0,812.2139673612463
3141.0,51.03701114608812,50.47942724284661,3531.198891059906,520.3763480752461,Database,VM,479.500555667869,89.23565240913169,42.577088273142834,Linux,Moderate,0.0,99.0,251.03180158120864
1333.0,44.5435178413169,82.92887187706421,4437.943646450375,953.1556744053868,Web,Container,241.77080766104407,76.3519264742207,20.97735406043905,Unix,Moderate,0.0,195.0,111.11779492456324
4952.0,35.98873482148745,46.493533022181744,4022.3274925523183,705.7892444606773,Application,Container,409.0171742359343,52.28356133959213,54.56078788045493,Unix,Complex,1.0,381.0,177.87038227107783
4989.0,68.66017624523911,94.03220337973856,7298.591038285721,376.1407319539918,Database,Physical,296.01229242798087,97.4754517760164,53.10231402017714,Unix,Simple,0.0,290.0,491.3970980822433
4150.0,74.43046210138716,38.45085713205207,5110.726587677345,676.8868723577368,Application,Container,354.6371875064979,97.90643475352483,42.648765847573074,Linux,Simple,0.0,110.0,499.7372299773929
3399.0,79.29159467391517,42.26667135898174,8018.797125914555,312.02303291318646,Application,Physical,231.0380994018208,74.96475577211748,34.19693137575459,Linux,Complex,1.0,149.0,853.6318854993197
1809.0,53.71631949563826,63.82945642769459,6106.754135248285,521.2327146963944,Application,Container,343.89157089957695,75.76754837168443,15.690240771795382,Unix,Complex,0.0,247.0,715.6038894541192
1069.0,77.9376391677063,76.55951105281441,9410.998394621298,231.74003591393745,File,Physical,65.276481313694,94.79130737363906,39.36001741066451,Unix,Simple,0.0,230.0,662.4055184306046
2560.0,75.43988464597817,34.807578274048275,2157.392203129923,207.1860587640309,Web,VM,13.088786382010564,74.30273120755245,44.11985287782886,Windows,Complex,0.0,440.0,616.6509980325637
3794.0,69.27415308867344,35.60146061639816,6815.229943468796,684.6329326224358,Web,VM,235.0503882022956,65.95022627537216,58.63393427407122,Windows,Moderate,1.0,140.0,971.6388524456512
2661.0,39.10522921988053,73.35148109094499,4675.155546999366,764.8770269459304,Application,Container,488.5633084045144,68.48794554116898,21.87801061766924,Windows,Moderate,0.0,429.0,491.3970980822433
434.0,35.46834341190637,91.4150993342134,8096.690697228631,819.9319482878803,File,Container,268.1067576339777,81.00035854304525,36.4061620498272,Windows,Complex,1.0,105.0,491.4801561376884
1501.0,24.59793705836585,63.82945642769459,8638.19441861854,380.1838759122953,File,Physical,20.55787176604579,59.04063346084597,54.82537993272753,Windows,Complex,1.0,269.0,806.2401908453982
2496.0,85.3152413350652,94.19292435325852,6897.890806037069,492.720643196044,Database,VM,256.1259831983623,75.76754837168443,12.60769448366572,Linux,Simple,0.0,350.0,653.1294569175745
3351.0,77.00320563277779,73.28127479061135,5167.009708561134,520.3763480752461,Database,Physical,75.33277649592472,60.61610753511792,1.7712629414905257,Unix,Moderate,0.0,166.0,75.24352328934526
2263.0,35.3491321657953,62.380335918328896,5974.584627931175,912.6483284739646,Application,VM,124.1281175383043,87.9085661545138,29.174366008036,Unix,Complex,1.0,251.0,204.45106463016475
230.0,59.13793265092445,82.62955518168047,9036.064793390688,334.76650857740094,Database,Container,247.02168878931408,90.02738103417326,43.52631884813276,Linux,Complex,0.0,479.0,792.215676855815
3297.0,45.32543566440309,37.68536714089363,7063.495296321678,416.01793939679993,Database,VM,215.8020252738816,71.92080382616577,14.494226642648696,Windows,Moderate,1.0,269.0,427.5507873827718
2813.0,57.55026317075604,77.47059394541911,6094.820145094877,980.969988745196,File,Physical,47.29186358343036,54.6963311947809,6.886428165512493,Windows,Simple,1.0,454.0,841.1092156343558
1955.0,60.49955803943282,37.49888205203102,7189.873825460614,392.3870105520799,Database,Container,179.0024647691019,61.35970368052156,59.03617163887814,Windows,Moderate,0.0,70.0,773.7647180610471
3039.0,63.851671378236325,50.75779527373889,9304.96985043223,64.8323498432583,Web,VM,316.56550725361234,80.1003339005407,2.966167334054531,Unix,Moderate,0.0,340.0,947.9115804145388
1372.0,52.05984454119312,67.95282575149187,8241.94816792357,173.76787330591702,Database,VM,240.2702780897128,75.4429482486145,12.233644179798947,Windows,Complex,1.0,185.0,446.76733862148
4179.0,57.62908132949697,69.10055627577461,5715.999496062327,60.89393635161578,Web,Physical,230.77870334427536,93.24512658651602,48.06530345617417,Unix,Complex,0.0,68.0,162.30654592231747
3755.0,57.62908132949697,36.77106151804099,8098.319317082732,852.6796650977739,Web,Container,92.80110475140744,96.28968919205688,24.16216077235557,Windows,Moderate,1.0,172.0,570.2493423818328
843.0,31.09070851329253,44.56662464844527,5126.179619760593,585.9757382276053,Database,Physical,416.9117260034275,80.98724455766751,54.612239596710175,Unix,Moderate,0.0,218.0,576.7367643509638
1632.0,62.61879281363754,71.94321579215067,5110.726587677345,285.4882058805561,Database,Physical,323.25442407201155,76.75228839333914,32.769602993966764,Unix,Simple,0.0,60.0,127.7506491483455
2120.0,86.63430694193303,54.283069107129,4009.270923572248,558.6259278875606,Database,VM,234.26998704706307,65.30362060764749,58.04083916726189,Windows,Simple,1.0,126.0,195.44917049093948
765.0,69.24436119970684,36.25052892499987,7585.48763843579,246.1860354763561,Database,Container,445.2767693676073,61.03896072146695,31.791327349332704,Windows,Complex,0.0,163.0,101.98256231900372
4096.0,38.95690090033278,42.64371792756312,5110.726587677345,694.485617689861,File,Container,125.1038202924144,51.59016597393086,46.287098040613145,Windows,Moderate,1.0,494.0,408.1191708999808
2820.0,82.9658267565367,52.7406864074526,8105.753944826452,826.1271758845746,Database,VM,132.17266621163083,94.76144692182172,55.57545962430097,Linux,Moderate,1.0,372.0,343.6883639506017
2560.0,82.34898931134597,64.00273561857753,6063.522102581035,982.697046284737,File,VM,53.80036376495672,80.47150771045825,50.38559324625752,Windows,Moderate,0.0,242.0,821.8578236428997
1806.0,50.31886946475272,63.82945642769459,1895.0116303953844,749.3215604445086,Web,Physical,436.5436222875879,74.8524631013317,13.819037882165652,Windows,Moderate,0.0,269.0,889.9642732311022
3741.0,66.79420544668803,78.19251601480033,274.6892572680524,907.6103009628988,Database,Physical,115.40936875209684,66.60334847303088,41.950281015677845,Linux,Moderate,0.0,417.0,486.0121649264853
3570.0,83.17736392384742,83.44157774474795,6118.169693476537,849.3984620833346,Application,VM,247.9819154034984,56.59910451272623,20.232882509518515,Unix,Complex,1.0,302.0,350.6362988497671
269.0,35.448299195045095,33.17795096502767,4355.071920070088,113.75049634214405,File,Physical,391.8190923507488,94.64250280392972,46.16514116886784,Unix,Simple,0.0,222.0,660.772075448659
3247.0,69.10724429567284,71.64410925201983,7000.28529825936,938.1606713914996,Application,Physical,286.8443770246714,71.84241725521002,44.51849093491564,Unix,Moderate,0.0,316.0,305.78463202812355
4889.0,78.18820662932292,59.79567085832728,504.5223376153558,338.9816318706042,Application,VM,196.98750703534697,81.66754280603278,38.2151684379373,Unix,Complex,1.0,345.0,970.120050201092
2388.0,57.62908132949697,43.0844810936643,117.09076614163538,520.9467685693755,Database,Physical,433.342097267727,66.2136869956825,31.791327349332704,Windows,Simple,0.0,269.0,411.38033626770806
3724.0,57.62908132949697,36.0751610643483,4435.142944821434,281.29020836025234,Web,Physical,56.91582645255836,55.96663438867711,31.893855771168965,Linux,Complex,0.0,265.0,823.2650746349784
3385.0,84.68286906477896,90.76059995613046,3036.861160888069,283.4433920256123,File,Physical,257.64333683985944,91.91366105787208,38.01163492013893,Unix,Simple,0.0,414.0,279.83162170745845
3706.0,83.86095947356604,94.09128969327386,8717.555188481332,508.35852071004814,Web,Container,487.1098709134541,75.76754837168443,18.13709488167037,Windows,Complex,0.0,133.0,342.4628177307215
3346.0,76.1477036405246,45.58113708580048,9766.630528618554,793.950646274022,Database,VM,482.41727535169696,75.76754837168443,20.577749528178423,Linux,Simple,0.0,233.0,238.7337691193527
4550.0,57.62908132949697,88.66187678244852,7763.302720407723,435.7597780170888,Database,Physical,343.9242593528963,88.64789128884054,12.18978933618634,Windows,Moderate,0.0,204.0,247.68509240108492
459.0,57.62908132949697,31.131878462001588,5110.726587677345,670.189870871454,Application,Container,369.5888230972589,74.34020794137528,15.2443487531733,Windows,Complex,0.0,394.0,87.18394567032162
4030.0,78.7317172509961,55.97526328601345,5110.726587677345,112.39843895117444,Database,Container,381.32757238263264,82.32082838543928,26.627534692708444,Unix,Moderate,1.0,490.0,123.46518862540212
